wl	GaAs
650.137	360.353
650.35	357.949
650.562	361.596
650.774	357.952
650.987	361.631
651.199	366.358
651.411	365.713
651.623	359.904
651.836	363.694
652.048	361.295
652.26	356.948
652.473	361.054
652.685	357.622
652.897	367.046
653.109	362.562
653.322	360.192
653.534	366.44
653.746	361.364
653.958	361.878
654.171	365.415
654.383	360.544
654.413	364.062
654.626	365.151
654.838	363.304
655.051	371.956
655.264	361.513
655.476	360.167
655.689	357.274
655.901	365.563
656.114	360.294
656.327	364.588
656.539	366.75
656.752	364.082
656.965	364.999
657.177	368.968
657.39	360.877
657.603	361.228
657.815	362.615
658.028	366.422
658.24	360.131
658.453	359.858
658.666	362.458
658.878	362.623
659.091	361.905
659.303	357.864
659.516	360.759
659.729	360.059
659.941	360.462
660.154	358
660.366	360.919
660.579	365.908
660.792	367.78
661.004	369.569
661.217	364.518
661.429	367.326
661.642	361.836
661.854	364.036
662.067	363.267
662.28	363.5
662.492	363.95
662.705	360.22
662.917	361.741
663.13	362.466
663.342	366.617
663.555	358.381
663.768	361.535
663.98	361.201
664.193	363.421
664.405	365.048
664.618	362.988
664.83	362.174
665.043	365.627
665.255	366.072
665.468	363.939
665.68	359.248
665.893	360.668
666.105	365.389
666.318	364.756
666.53	364.192
666.743	366.3
666.955	360.284
667.168	363.471
667.38	362.584
667.593	364.438
667.805	363.692
668.018	366.259
668.23	364.22
668.443	357.297
668.655	364.628
668.868	356.603
669.08	369.64
669.293	358.799
669.505	366.157
669.718	364.555
669.93	368.962
670.142	364.996
670.355	367.055
670.567	363.634
670.78	361.916
670.992	363.788
671.205	365.098
671.417	365.715
671.63	365.406
671.842	362.842
672.054	356.798
672.267	360.325
672.479	364.323
672.692	363.948
672.904	359.812
673.117	362.667
673.329	360.014
673.541	364.474
673.754	356.831
673.966	365.425
674.179	364.371
674.391	370.356
674.603	361.657
674.816	360.106
675.028	367.498
675.241	364.046
675.453	369.149
675.665	366.731
675.878	365.393
676.09	367.323
676.302	361.104
676.515	360.949
676.727	360.968
676.939	362.172
677.152	363.594
677.364	360.345
677.577	366.953
677.789	366.05
678.001	370.18
678.214	364.639
678.426	359.457
678.638	366.335
678.851	364.821
679.063	369.189
679.275	358.142
679.488	365.917
679.7	362.704
679.912	361.251
680.125	364.827
680.337	365.427
680.549	364.446
680.761	364.368
680.974	366.124
681.186	363.67
681.398	367.431
681.611	365.244
681.823	358.551
682.035	363.053
682.247	370.076
682.46	359.171
682.672	364.301
682.884	363.731
683.097	370.768
683.309	360.791
683.521	365.22
683.733	365.592
683.946	364.739
684.158	361.447
684.37	363.39
684.582	369
684.795	365.128
685.007	367.124
685.219	363.688
685.431	367.878
685.644	364.35
685.856	361.491
686.068	370.062
686.28	359.608
686.492	361.59
686.705	360.981
686.917	367.232
687.129	362.437
687.341	358.23
687.553	359.85
687.766	362.174
687.978	365.193
688.19	363.724
688.402	363.689
688.614	363.204
688.827	361.456
689.039	357.151
689.251	354.487
689.463	363.813
689.675	365.625
689.888	366.759
690.1	364.548
690.312	360.888
690.524	363.143
690.736	359.782
690.948	359.777
691.16	359.707
691.373	361.604
691.585	364.583
691.797	364.4
692.009	361.953
692.221	360.748
692.433	362.689
692.645	355.088
692.857	359.925
693.07	364.124
693.282	359.324
693.494	355.098
693.706	362.964
693.918	363.643
694.13	370.41
694.342	365.905
694.554	364.25
694.766	363.099
694.979	366.769
695.191	372.407
695.403	366.795
695.615	363.738
695.827	366.013
696.039	361.143
696.251	358.65
696.463	366.408
696.675	361.348
696.887	361.188
697.099	363.366
697.311	354.959
697.523	358.338
697.735	363.262
697.947	361.842
698.159	361.195
698.371	358.065
698.583	362.447
698.796	362.232
699.008	360.923
699.22	361.886
699.432	362.945
699.644	358.235
699.856	365.562
700.068	360.588
700.28	360.122
700.492	365.442
700.704	360.977
700.916	364.696
701.128	361.603
701.34	367.334
701.552	367.141
701.764	364.732
701.976	359.945
702.188	366.014
702.4	364.213
702.612	366.777
702.823	355.594
703.035	361.557
703.247	363.321
703.459	360.232
703.671	365.092
703.883	366.306
704.095	364.913
704.307	364.667
704.519	360.344
704.731	360.328
704.943	355.68
705.155	361.734
705.367	364.963
705.579	364.03
705.791	354.564
706.003	357.55
706.214	362.914
706.426	364.685
706.638	367.029
706.85	363.007
707.062	362.973
707.274	360.472
707.486	357.268
707.698	361.798
707.91	357.04
708.122	363.791
708.333	364.657
708.545	369.332
708.757	363.524
708.922	355.754
709.134	366.423
709.347	360.232
709.559	364.718
709.771	367.143
709.983	362.859
710.196	358.314
710.408	358.289
710.62	351.402
710.833	361.652
711.045	361.317
711.257	362.566
711.469	357.075
711.682	363.506
711.894	366.009
712.106	360.333
712.318	364.495
712.531	356.149
712.743	356.816
712.955	361.234
713.167	363.936
713.38	363.591
713.592	362.674
713.804	361.919
714.016	359.63
714.229	366.966
714.441	355.704
714.653	365.111
714.865	363.79
715.078	365.71
715.29	360.972
715.502	357.352
715.714	358.631
715.926	365.245
716.139	357.43
716.351	358.641
716.563	363.615
716.775	359.756
716.987	361.977
717.2	360.529
717.412	366.108
717.624	362.248
717.836	363.911
718.048	363.798
718.261	356.258
718.473	361.744
718.685	366.394
718.897	363.82
719.109	363.862
719.321	363.759
719.534	363.921
719.746	360.194
719.958	359.383
720.17	367.661
720.382	366.644
720.594	357.213
720.806	358.82
721.019	356.988
721.231	362.241
721.443	362.428
721.655	355.102
721.867	362.833
722.079	361.612
722.291	365.448
722.503	357.982
722.716	368.992
722.928	360.179
723.14	362.054
723.352	361.44
723.564	361.881
723.776	366.674
723.988	366.968
724.2	364.179
724.412	366.221
724.625	364.532
724.837	366.317
725.049	364.651
725.261	369.455
725.473	362.73
725.685	362.443
725.897	367.483
726.109	363.446
726.321	365.875
726.533	366.305
726.745	361.118
726.957	364.682
727.169	361.612
727.381	360.581
727.593	362.418
727.805	363.792
728.017	363.942
728.229	367.891
728.442	362.753
728.654	363.992
728.865	370.213
729.078	362.379
729.29	361.76
729.502	367.432
729.714	362.578
729.926	363.598
730.138	367.314
730.35	367.911
730.562	362.349
730.774	364.783
730.986	369.045
731.198	367.976
731.41	365.361
731.622	366.965
731.833	362.827
732.046	368.169
732.257	362.514
732.469	360.793
732.681	368.583
732.893	366.837
733.105	367.61
733.317	364.235
733.529	366.125
733.741	366.399
733.953	365.785
734.165	367.298
734.377	362.998
734.589	368.362
734.801	370.254
735.013	361.303
735.225	370.11
735.437	368.978
735.649	368.549
735.861	362.751
736.072	365.578
736.284	360.919
736.496	367.208
736.708	371.431
736.92	370.479
737.132	366.822
737.344	367.454
737.556	365.044
737.768	368.736
737.979	368.998
738.191	367.503
738.403	375.832
738.615	364.79
738.827	363.871
739.039	359.911
739.251	370.273
739.463	365.684
739.674	365.991
739.886	373.903
740.098	364.58
740.31	362.05
740.522	366.562
740.734	369.486
740.946	365.595
741.157	371.218
741.369	364.605
741.581	374.997
